name,website,phone,contact_email
Batra Real Estate,http://www.batrare.com/,+1 646-202-1877,
REAL New York,http://www.realnewyork.com/,+1 212-279-1289,
Manhattan Realty Group,http://www.mrgnyc.com/,+1 212-470-7070,
ELIKA Real Estate,https://www.elikarealestate.com/,+1 212-590-0540,
Conrad Real Estate LLC,https://conradnyc.com/,+1 646-938-4074,
Alpha Properties NYC,http://www.alphanyc.com/,+1 212-674-1645,
Sido New York Real Estate,https://sidonyre.com/,+1 212-706-9079,
Digs Realty Group,https://digsrealtynyc.com/,+1 917-675-0037,
Green Home NY REALTY LLC,http://greenhomesnyc.com/,+1 212-213-0008,
SOCIETE REAL ESTATE,https://societerealestate.com/,+1 917-952-0005,
Most NYC Realty,http://www.mostnyc.com/,+1 917-553-1324,
New York Living Solutions @ Keller Williams NYC,http://www.nyls.net/,+1 212-962-3940,
New York Casas Real Estate Management,http://nyc-rem.com/,+1 917-967-0526,
New York Real Estate & Builders,,(051) 111 322 111,
Bogard New York Team | SERHANT. Real Estate,http://www.bogardny.com/,+1 646-201-8782,
"Urban Real Estate Property Group, Inc.",http://www.urbanapartmentsnyc.com/,+1 212-688-3030,
R New York,http://www.wernewyork.com/,+1 212-688-1000,
Nolita Group,http://www.nolitagroup.com/,+1 646-918-6042,
"MOVE NYC REAL ESTATE, LLC",,,
Made In NY Realty,http://www.madeinnyrealty.com/,+1 718-678-5358,
